Rank	Gene	PredictionScore
114	KAT6B	0.554
115	DZIP1	0.554
116	ATRX	0.553
117	NR2C2	0.553
118	DDHD1	0.553
119	NLGN1	0.552
120	CCNT2	0.552
121	FAM84A	0.552
122	GRM5	0.551
123	IDS	0.55
124	TBR1	0.55
125	GRM7	0.55
126	EPM2AIP1	0.55
127	SPIRE1	0.548
128	DAAM1	0.547
129	RASAL2	0.547
130	SNAP91	0.547
131	PCNX	0.546
132	SEZ6L	0.545
133	HOOK1	0.545
134	ATP2C1	0.545
135	SPAG9	0.543
136	ZC3H13	0.543
137	NOL4	0.542
138	PDE10A	0.54
139	KDM5B	0.54
140	ATP8A1	0.54
141	SLC4A7	0.539
142	PRRC2B	0.539
143	DLG2	0.538
144	ZMYM2	0.537
145	ADAM22	0.537
146	SGIP1	0.537
147	SCN2A	0.535
148	NAV3	0.534
149	BHLHE22	0.534
150	ZSWIM6	0.532
151	SCAF8	0.532
152	PRKAB2	0.531
153	TAOK1	0.53
154	GRIP1	0.53
155	SORCS3	0.53
156	ZC2HC1A	0.53
157	DOPEY1	0.53
158	VPS13A	0.529
159	PPFIA2	0.529
160	KIAA1109	0.528
161	PLXNC1	0.528
162	XPR1	0.528
163	LPHN3	0.527
164	NRIP1	0.527
165	MACF1	0.527
166	PLCB4	0.527
167	EHBP1	0.527
168	MAP1B	0.526
169	NETO1	0.525
170	KIAA0408	0.525
171	FGF14	0.525
172	RELN	0.525
173	ATXN2	0.525
174	DOCK3	0.525
175	SNX27	0.524
176	TNKS2	0.523
177	TMEFF2	0.523
178	DENND5B	0.522
179	GPM6A	0.522
180	HDGFRP3	0.521
181	SMPD3	0.521
182	MN1	0.52
183	HECTD2	0.519
184	ZNF638	0.519
185	PNISR	0.519
186	FAM65B	0.519
187	NRG3	0.518
188	NFIB	0.518
189	CPLX2	0.517
190	HECTD1	0.517
191	RAB11FIP2	0.517
192	TBC1D24	0.516
193	GABRA4	0.516
194	LMO3	0.516
195	CLSTN2	0.516
196	DAB1	0.516
197	SBF2	0.515
198	PCM1	0.515
199	RYR2	0.515
200	RC3H2	0.514
201	NRXN3	0.514
202	GRIK1	0.513
203	EP400	0.513
204	MAPRE2	0.512
205	FAM171B	0.512
206	PEG3	0.512
207	CLASP2	0.512
208	SLC38A1	0.511
209	GDAP1	0.51
210	UNC13A	0.51
211	CNTNAP2	0.51
212	ZNF292	0.51
213	KCNK2	0.508
214	HERC1	0.506
215	GATAD2B	0.505
216	GUCY1A3	0.505
217	SHANK2	0.505
218	UBP1	0.505
219	INTS6	0.505
220	KIAA0232	0.504
221	GRIA1	0.504
222	PGM2L1	0.504
223	KCNQ5	0.504
224	NELL1	0.504
225	MAGI1	0.503
226	UBQLN2	0.503
227	ETV1	0.503
228	ADCY1	0.502
229	RABGAP1	0.502
230	JMJD1C	0.502
231	AP1AR	0.501
232	CEP170	0.5
233	HDAC4	0.5
234	PDE8B	0.5
235	RYR3	0.5
236	ARGLU1	0.499
237	RTF1	0.498
238	RAPGEF4	0.498
239	KIAA1549L	0.498
240	APBB2	0.497
241	SLC25A27	0.497
242	DNAJC6	0.497
243	LRRTM2	0.496
244	KCNMA1	0.496
245	LEMD3	0.495
246	CAMTA1	0.495
247	NR2F1	0.495
248	PCDH17	0.494
249	KIAA2022	0.493
250	FCHSD2	0.493
251	RBM25	0.492
252	FAT3	0.492
253	ZC3H11A	0.492
254	TOP1	0.491
255	C20ORF194	0.491
256	FAM155A	0.49
257	R3HDM2	0.49
258	ZMYM4	0.49
259	NR4A2	0.49
260	CTTNBP2	0.49
261	RBBP6	0.489
262	UBE2W	0.489
263	PPM1E	0.487
264	TCERG1	0.487
265	PURG	0.487
266	AKAP5	0.486
267	NOVA1	0.486
268	PDP1	0.486
269	NAV1	0.486
270	SEZ6	0.486
271	PTPRR	0.485
272	RAPGEF2	0.485
273	ELAVL2	0.485
274	RUFY2	0.485
275	MAP9	0.485
276	DDX17	0.485
277	ZBTB20	0.485
278	SORCS1	0.485
279	MSL1	0.485
280	PTPRO	0.484
281	GABRA5	0.484
282	SYT4	0.483
283	SPTBN1	0.483
284	GABRB2	0.483
285	SLC8A1	0.483
286	ST8SIA3	0.483
287	TAOK3	0.482
288	LUC7L2	0.482
289	INPP5F	0.482
290	ZDHHC17	0.481
291	CDK5R1	0.481
292	CUX2	0.481
293	INPP4A	0.481
294	LIN7A	0.481
295	TSC22D2	0.48
296	BRD4	0.48
297	WHSC1L1	0.48
298	LRP1B	0.48
299	LCOR	0.48
300	TRIM9	0.48
301	NEUROD1	0.48
302	TCF4	0.48
303	CSRNP2	0.48
304	B3GALT2	0.479
305	BAI3	0.479
306	NCOR1	0.479
307	MSL2	0.479
308	NPEPPS	0.478
309	RIMBP2	0.478
310	TMEM170B	0.478
311	PCDHAC2	0.477
312	PLEKHA5	0.477
313	ZNRF1	0.476
314	CCDC6	0.476
315	RNF38	0.476
316	RGMB	0.476
317	CHD9	0.475
318	ELAVL3	0.475
319	OPCML	0.475
320	SACS	0.475
321	SLC6A1	0.475
322	ZMYND8	0.474
323	AKAP11	0.474
324	CHL1	0.474
325	ZCCHC7	0.474
326	PCDH9	0.473
327	USP31	0.473
328	KLHL24	0.473
329	DGKB	0.473
330	FAM13B	0.473
331	ADAM23	0.473
332	RNF182	0.473
333	HMG20A	0.472
334	ATXN7	0.472
335	RCOR1	0.471
336	PPP2R5E	0.471
337	GPR85	0.47
338	GABRB3	0.47
339	EPC2	0.47
340	TTC3	0.469
341	ATRNL1	0.469
342	DIP2C	0.469
343	ZDHHC21	0.469
344	FAM168A	0.469
345	KIAA0947	0.469
346	SCN8A	0.469
347	CEP350	0.468
348	NOVA2	0.467
349	EPC1	0.467
350	ZYG11B	0.466
351	LUC7L3	0.466
352	SRSF11	0.466
353	ARPP21	0.465
354	TTBK2	0.465
355	NLGN3	0.465
356	ARHGAP20	0.465
357	SLITRK1	0.465
358	KIAA1468	0.465
359	PHF20L1	0.465
360	RNF111	0.465
361	SSBP3	0.465
362	PCDHB16	0.464
363	RSBN1	0.464
364	GLS	0.464
365	PPP1R14C	0.464
366	CLOCK	0.464
367	AKIRIN2	0.463
368	ZBTB43	0.463
369	TRO	0.463
370	NEDD4L	0.463
371	RIMS2	0.463
372	KIAA1107	0.462
373	FNBP4	0.462
374	ANKRD6	0.462
375	ZRANB1	0.461
376	HNRNPUL2	0.461
377	SH3RF1	0.461
378	CACNG4	0.461
379	TNKS	0.46
380	NFIX	0.46
381	NKTR	0.46
382	MTMR9	0.46
383	RBM5	0.46
384	PPM1K	0.46
385	KANSL1	0.46
386	BOD1L1	0.459
387	BRWD1	0.459
388	SSBP2	0.459
389	HMGCR	0.459
390	SLC23A2	0.458
391	HOMER1	0.458
392	ST6GAL2	0.458
393	HOOK3	0.458
394	CPEB2	0.457
395	CDH2	0.457
396	SPRED1	0.457
397	PIAS1	0.457
398	PIP4K2B	0.457
399	TMEM65	0.457
400	DBC1	0.457
401	SNAPC3	0.456
402	HIVEP1	0.456
403	NXPH1	0.456
404	POGZ	0.455
405	PCDH19	0.455
406	NLGN2	0.455
407	HERC3	0.455
408	HOMER2	0.455
409	PAPD5	0.455
410	FOXJ3	0.454
411	DOCK4	0.454
412	HUWE1	0.454
413	RGS17	0.454
414	ZNF462	0.453
415	TTC14	0.453
416	FAM13C	0.453
417	CSMD3	0.453
418	ENAH	0.453
419	TRRAP	0.453
420	RABGAP1L	0.453
421	TNRC6A	0.453
422	ATG2B	0.452
423	OSBPL8	0.452
424	SYNPR	0.452
425	FAM169A	0.452
426	BACH2	0.452
427	RYBP	0.451
428	MARK1	0.451
429	TRAK1	0.451
430	SESTD1	0.451
431	CHD8	0.45
432	AKAP9	0.45
433	ARHGEF9	0.45
434	DNM3	0.449
435	DDX6	0.449
436	TSPAN5	0.449
437	RALGAPB	0.449
438	SREK1	0.448
439	FBXO45	0.448
440	NMNAT2	0.447
441	CNTN3	0.447
442	ELMOD1	0.447
443	HECA	0.447
444	SOCS7	0.447
445	ZDHHC2	0.446
446	MADD	0.446
447	ARHGAP21	0.445
448	NAV2	0.445
449	LPHN2	0.445
450	MED13	0.445
451	EDEM3	0.445
452	VEZT	0.445
453	BCL11B	0.445
454	NTM	0.445
455	SLC25A36	0.444
456	THSD7A	0.444
457	SYT13	0.444
458	KDM5A	0.444
459	ETNK1	0.444
460	TOX	0.444
461	FJX1	0.444
462	UBE4B	0.444
463	PCMTD1	0.443
464	THOC2	0.443
465	RPRD2	0.443
466	FBXL17	0.442
467	TSHZ1	0.442
468	CAMKK2	0.442
469	CACNA1D	0.442
470	GGNBP2	0.442
471	TET2	0.442
472	JAKMIP2	0.442
473	KCNAB1	0.441
474	ZMYM3	0.441
475	FRMD4A	0.441
476	CHKA	0.441
477	STAU2	0.441
478	GABRB1	0.441
479	FAM5C	0.44
480	SCN3B	0.44
481	CTNND2	0.44
482	TSC1	0.44
483	SPIN1	0.44
484	SYT1	0.439
485	ITSN2	0.439
486	PRDM2	0.439
487	ZNF827	0.439
488	ARID2	0.438
489	FRYL	0.438
490	USP32	0.438
491	PLCB1	0.438
492	FAM117B	0.438
493	TRPC1	0.438
494	YTHDC2	0.437
495	FBXL20	0.437
496	DLX1	0.436
497	SLC12A5	0.436
498	SPRED2	0.436
499	ST6GALNAC5	0.436
500	PHACTR1	0.435
501	PRKAG2	0.435
502	SOS1	0.435
503	SLC1A2	0.435
504	USP7	0.435
505	ZNF322	0.435
506	UNC5D	0.435
507	KCNN2	0.435
508	OPHN1	0.435
509	SOWAHA	0.434
510	PTPRT	0.434
511	BRD1	0.434
512	ZCCHC11	0.434
513	ZNF148	0.434
514	RORB	0.434
515	MCF2L	0.433
516	SORBS2	0.433
517	NPTX1	0.433
518	ARFGEF1	0.433
519	SENP6	0.433
520	ESRRG	0.433
521	KCNB1	0.432
522	ERC2	0.431
523	NEK1	0.431
524	GAPVD1	0.431
525	GRM3	0.43
526	ZFPM2	0.43
527	GABRA3	0.43
528	FAM19A2	0.43
529	ARHGAP39	0.43
530	SAMD12	0.43
531	DDAH1	0.43
532	CBLN2	0.43
533	ZNF329	0.429
534	LRP12	0.429
535	HNRNPA3	0.429
536	NRCAM	0.429
537	JPH4	0.429
538	MPPED2	0.429
539	ANKS1B	0.428
540	USP22	0.428
541	UHRF1BP1L	0.428
542	UNC80	0.428
543	USP46	0.428
544	DUSP8	0.428
545	MON2	0.428
546	KIF3B	0.428
547	DNAJB14	0.427
548	TLK1	0.427
549	SLITRK5	0.427
550	FNIP1	0.427
551	RAPGEF5	0.427
552	RICTOR	0.427
553	PRRC2C	0.427
554	NKAIN2	0.427
555	TBC1D9	0.427
556	ASTN1	0.426
557	SLC35F1	0.426
558	PGAP1	0.426
559	PHF21A	0.425
560	ATXN1	0.425
561	RUNDC3B	0.425
562	MYRIP	0.425
563	TRIM33	0.425
564	CDK14	0.424
565	ARIH1	0.423
566	CCDC85A	0.423
567	PTPRG	0.423
568	GPR155	0.423
569	SHROOM2	0.423
570	RASA2	0.422
571	DNAJC13	0.422
572	CNKSR2	0.422
573	PCGF6	0.421
574	EPHA7	0.421
575	ISLR2	0.421
576	USP48	0.421
577	PCDH20	0.42
578	CDC42BPA	0.42
579	ARID1A	0.42
580	SRRM1	0.42
581	TNIK	0.42
582	SFSWAP	0.42
583	RAPH1	0.419
584	CNR1	0.419
585	BICD1	0.419
586	RNF44	0.419
587	GLCCI1	0.419
588	CADPS	0.418
589	FAXC	0.418
590	LMO7	0.418
591	MBLAC2	0.418
592	STXBP5	0.418
593	RANBP9	0.418
594	XKR4	0.418
595	PPP4R2	0.418
596	BTBD9	0.418
597	NETO2	0.417
598	FAM126B	0.417
599	CHIC1	0.417
600	ATAD2B	0.417
601	GRIN3A	0.417
602	FRY	0.417
603	GPHN	0.417
604	KCNQ2	0.417
605	DYRK2	0.417
606	TNRC6C	0.416
607	ARHGEF7	0.416
608	PLXNA4	0.416
609	SIAH1	0.416
610	PDE7A	0.415
611	NCAN	0.415
612	GRID1	0.415
613	CDH9	0.415
614	CASC4	0.415
615	SPPL3	0.415
616	SLIT2	0.415
617	TSHZ3	0.414
618	NAPB	0.414
619	EFNA3	0.414
620	SMARCC2	0.414
621	NCOA6	0.414
622	DLGAP1	0.414
623	ASIC1	0.414
624	ROBO2	0.414
625	DGKI	0.414
626	NREP	0.414
627	ANKRD17	0.413
628	RPRM	0.413
629	SOBP	0.413
630	HCFC2	0.413
631	BZRAP1	0.413
632	CREBBP	0.413
633	ZNF711	0.413
634	SUZ12	0.413
635	SATB2	0.412
636	CLCN6	0.412
637	MEIS2	0.411
638	PAK7	0.411
639	GSK3B	0.411
640	TRIM2	0.411
641	FAM20B	0.411
642	USP9X	0.41
643	CPSF6	0.41
644	FAM102B	0.41
645	BICD2	0.41
646	RERE	0.41
647	MYEF2	0.41
648	CACNA2D3	0.41
649	FOXP1	0.41
650	FLRT3	0.409
651	SORBS1	0.409
652	USP33	0.409
653	L3MBTL3	0.409
654	LRRC4	0.409
655	KIF21A	0.409
656	RUFY3	0.408
657	PAK3	0.408
658	FNBP1L	0.408
659	PDIK1L	0.408
660	PARP6	0.408
661	TBC1D23	0.407
662	MBTD1	0.407
663	CACNB4	0.407
664	B4GALT6	0.407
665	CAMK1D	0.407
666	PRICKLE2	0.407
667	PLCXD2	0.406
668	CA10	0.406
669	RBM26	0.406
670	ENC1	0.406
671	DZIP3	0.406
672	CADM2	0.406
673	ZMYM5	0.405
674	SETX	0.405
675	ARID1B	0.405
676	WASL	0.405
677	NMT2	0.405
678	PRICKLE1	0.405
679	MLL	0.405
680	EFNB3	0.405
681	SPHKAP	0.405
682	APBA1	0.404
683	USP15	0.404
684	MYO5A	0.404
685	CACNA1B	0.404
686	PCDH11Y	0.404
687	SYT16	0.404
688	ELOVL4	0.404
689	SLC17A6	0.404
690	PBX1	0.403
691	FAM160B1	0.403
692	RAPGEF6	0.403
693	KIAA1467	0.403
694	WASF1	0.403
695	DYNC1H1	0.403
696	GOLGA4	0.403
697	UGCG	0.403
698	CUL5	0.403
699	ZNF281	0.403
700	SLC39A10	0.402
701	RB1CC1	0.402
702	HS6ST2	0.402
703	KIAA1549	0.402
704	SNX13	0.401
705	VCPIP1	0.401
706	PSD3	0.401
707	SLC7A14	0.401
708	PHF3	0.4
709	NR3C2	0.4
710	SLC8A3	0.4
711	SFPQ	0.4
712	CDK17	0.4
713	TAC1	0.4
714	TOP2B	0.4
715	ARNT2	0.4
716	SRGAP2	0.399
717	POU2F1	0.399
718	ARHGAP35	0.399
719	FAM5B	0.399
720	MYO16	0.399
721	FLRT2	0.399
722	BASP1	0.399
723	DAPK1	0.399
724	SV2B	0.399
725	YY1	0.398
726	STX1B	0.398
727	SREBF2	0.398
728	EPHA5	0.398
729	SLC5A3	0.398
730	NCAM2	0.398
731	ENOX1	0.398
732	FOXN3	0.397
733	CNOT4	0.397
734	UNC13B	0.397
735	U2SURP	0.396
736	AAK1	0.396
737	KIAA0368	0.396
738	DMXL2	0.396
739	DLGAP3	0.395
740	HECTD4	0.395
741	NFAT5	0.395
742	ANKRD50	0.395
743	KCTD4	0.395
744	YEATS2	0.395
745	MLLT10	0.395
746	EIF4G3	0.395
747	NUFIP2	0.394
748	DTNA	0.394
749	KCNC2	0.394
750	MAP6	0.394
751	CERS6	0.394
752	SRRM2	0.393
753	SLAIN1	0.393
754	TBL1XR1	0.393
755	TRPC3	0.393
756	SLTM	0.392
757	MEGF9	0.392
758	PPIG	0.392
759	CPNE4	0.392
760	PLEKHA1	0.392
761	PRKAA2	0.391
762	TRHDE	0.391
763	BAZ2B	0.391
764	B3GAT1	0.391
765	XRN1	0.391
766	PCDH7	0.39
767	SYBU	0.39
768	AGTPBP1	0.39
769	KIAA0430	0.39
770	NT5DC3	0.39
771	TP53BP1	0.39
772	PHACTR3	0.389
773	IMPAD1	0.389
774	DGKE	0.389
775	DOPEY2	0.389
776	C5ORF30	0.389
777	SUN1	0.388
778	CELF5	0.388
779	PHF14	0.388
780	EVI5	0.388
781	KCNJ3	0.388
782	AEBP2	0.388
783	SEMA6D	0.388
784	KCNV1	0.387
785	SPEN	0.386
786	LRFN5	0.386
787	SRSF12	0.386
788	KIAA1239	0.386
789	CPSF7	0.385
790	CLIP1	0.385
791	WHSC1	0.385
792	ZEB2	0.385
793	EEA1	0.385
794	ATP8A2	0.385
795	ZFAND5	0.385
796	ROCK2	0.384
797	DZANK1	0.383
798	LONRF2	0.383
799	DCUN1D1	0.383
800	ZNF236	0.383
801	EML5	0.383
802	ZC3H15	0.382
803	CSPG5	0.382
804	CAMK2N1	0.382
805	REPS2	0.382
806	PNMAL2	0.382
807	MTF2	0.381
808	LPPR4	0.381
809	STIM2	0.381
810	SAMD8	0.381
811	UBN2	0.381
812	FAM81A	0.38
813	CREG2	0.38
814	LARP4B	0.38
815	ADRBK2	0.38
816	AGRN	0.38
817	CAMK2D	0.38
818	PDS5B	0.379
819	FAM49A	0.379
820	LIMCH1	0.379
821	FSTL5	0.379
822	PRPF38B	0.379
823	QRICH1	0.379
824	IL1RAPL1	0.378
825	PCDH8	0.378
826	KRIT1	0.378
827	LRRTM4	0.378
828	FAM160A2	0.378
829	SLC24A2	0.378
830	SIPA1L1	0.377
831	BRD3	0.377
832	CLTC	0.377
833	TGS1	0.377
834	EPHA3	0.377
835	MLLT4	0.377
836	USP47	0.377
837	CCNI	0.376
838	GSE1	0.376
839	SLC35E2B	0.376
840	CACNG2	0.376
841	NCOA7	0.376
842	LDB2	0.376
843	ANKRD13B	0.375
844	OCRL	0.375
845	MECP2	0.375
846	VGF	0.375
847	GNPTAB	0.375
848	SH3BP5	0.375
849	SYNE1	0.375
850	PABPN1	0.375
851	SECISBP2L	0.374
852	FZD3	0.374
853	FAM171A1	0.374
854	HMGCLL1	0.374
855	MAN1A2	0.374
856	CHST1	0.373
857	CEP120	0.373
858	TRIM46	0.373
859	CRIM1	0.373
860	NEUROD2	0.373
861	GPR123	0.373
862	EXOC5	0.373
863	PHF20	0.373
864	SYNJ2BP	0.373
865	EPB41L1	0.372
866	SMG1	0.372
867	LPIN2	0.372
868	MYSM1	0.371
869	TRANK1	0.371
870	TRIM44	0.371
871	FEZF2	0.371
872	HACE1	0.371
873	PTBP2	0.371
874	HELZ	0.371
875	TBC1D30	0.371
876	GAD2	0.371
877	UNC5A	0.37
878	DNMT3A	0.37
879	ABLIM3	0.37
880	RPS6KA6	0.37
881	TMEM131	0.37
882	GDPD1	0.37
883	CALB1	0.37
884	DHX57	0.37
885	OTUD4	0.37
886	BCL11A	0.37
887	RNF150	0.369
888	SP4	0.369
889	DDX42	0.369
890	PAN3	0.369
891	DPP10	0.369
892	VPS13D	0.369
893	AFTPH	0.368
894	PTPRE	0.368
895	CRH	0.368
896	ZNF25	0.368
897	CCNT1	0.368
898	EFR3B	0.368
899	BTBD3	0.368
900	LMTK2	0.367
901	MAP3K5	0.367
902	LHX6	0.367
903	ZKSCAN1	0.367
904	NEO1	0.367
905	BHLHB9	0.367
906	TMEFF1	0.367
907	RNF214	0.367
908	LTN1	0.367
909	KCNA4	0.367
910	TMEM169	0.366
911	ADD2	0.366
912	MTMR4	0.366
913	CNOT6	0.366
914	SHPRH	0.366
915	TTL	0.366
916	ANKRD10	0.366
917	ARMC8	0.366
918	EDIL3	0.365
919	C1ORF21	0.365
920	GPR22	0.365
921	UNC13C	0.365
922	CACNG3	0.365
923	FKTN	0.365
924	TAB3	0.365
925	SLITRK4	0.364
926	MARCKS	0.364
927	CDH13	0.364
928	GFRA2	0.364
929	RBFOX3	0.364
930	DAB2IP	0.363
931	PLCXD3	0.363
932	LATS1	0.363
933	GABBR2	0.363
934	CNIH3	0.363
935	SF3B1	0.363
936	TMEM150C	0.363
937	OGT	0.363
938	DCLK1	0.363
939	ULK2	0.363
940	SEMA3E	0.362
941	TSPYL5	0.362
942	SHOC2	0.362
943	TLK2	0.362
944	JMY	0.362
945	PNPLA8	0.362
946	GPR158	0.362
947	SUGP2	0.362
948	SPOCK2	0.362
949	TMEM161B	0.362
950	EPHA4	0.361
951	ANKRD26	0.361
952	ASIC2	0.361
953	SLMAP	0.361
954	MED1	0.361
955	CELSR3	0.361
956	ADCY8	0.36
957	CDC42EP3	0.36
958	SOGA3	0.36
959	SMARCA2	0.36
960	TGFBRAP1	0.36
961	CLK4	0.36
962	KIAA0319	0.36
963	ALDH5A1	0.36
964	SYT17	0.36
965	KIF5A	0.36
966	SLC6A15	0.36
967	GRM1	0.36
968	KCNC1	0.359
969	DPF1	0.359
970	GTDC1	0.359
971	CBFA2T3	0.359
972	LMO4	0.359
973	MZT1	0.359
974	ITSN1	0.359
975	FEM1B	0.359
976	CELF6	0.359
977	FAM193A	0.358
978	RNF157	0.358
979	ANKIB1	0.358
980	ARID4A	0.358
981	NPAS3	0.358
982	TMEM106B	0.358
983	TRAPPC10	0.358
984	MGA	0.357
985	SLC2A13	0.357
986	UBR5	0.357
987	MAU2	0.357
988	ZMIZ1	0.357
989	RBM4	0.357
990	CCNG2	0.357
991	VSTM2A	0.357
992	JPH3	0.357
993	SHC3	0.356
994	DLGAP4	0.356
995	CHD5	0.356
996	TULP4	0.356
997	PAQR3	0.356
998	CSPP1	0.356
999	PTPN5	0.356
1000	ALKBH8	0.356
1001	ZZEF1	0.356
1002	CSNK1G1	0.355
1003	PIK3R1	0.355
1004	KLHL29	0.355
1005	PAPOLG	0.355
1006	CNOT6L	0.355
1007	LONRF1	0.355
1008	ASXL3	0.355
1009	MIB1	0.355
1010	SUSD4	0.355
1011	WNK1	0.355
1012	EPHB1	0.355
1013	SENP7	0.354
1014	TMEM56	0.354
1015	TMEM57	0.354
1016	TACC1	0.354
1017	TRIM8	0.354
1018	FNIP2	0.354
1019	BCLAF1	0.354
1020	DHX36	0.354
1021	CHST10	0.354
1022	YTHDC1	0.354
1023	ARAP2	0.353
1024	CACNB2	0.353
1025	SH3KBP1	0.353
1026	KIRREL3	0.353
1027	TIAM1	0.353
1028	KLHDC10	0.353
1029	KCND3	0.353
1030	ZNF385B	0.353
1031	USP24	0.353
1032	STRN3	0.352
1033	B3GALT1	0.352
1034	LHX2	0.352
1035	DOCK9	0.352
1036	NSG2	0.352
1037	FAM110B	0.352
1038	SKI	0.352
1039	RIC8B	0.352
1040	MEX3C	0.352
1041	TMEM108	0.351
1042	SMARCA1	0.351
1043	JAKMIP1	0.351
1044	HLF	0.351
1045	FUBP1	0.351
1046	UBE2D1	0.351
1047	PKIA	0.351
1048	MIA3	0.351
1049	FAM179B	0.351
1050	CBLL1	0.35
1051	WIPF2	0.35
1052	ANKRD11	0.35
1053	RIMKLB	0.35
1054	HERC2	0.35
1055	NEFM	0.35
1056	SETD5	0.35
1057	LINGO1	0.35
1058	ZMAT4	0.349
1059	PRRG3	0.349
1060	CECR6	0.349
1061	C20ORF112	0.349
1062	KIAA0753	0.349
1063	PELI1	0.349
1064	CDK19	0.349
1065	SH3GL3	0.349
1066	CHD6	0.348
1067	DRP2	0.348
1068	SCMH1	0.348
1069	NCALD	0.348
1070	CBLB	0.348
1071	PARP8	0.348
1072	KCNT2	0.348
1073	DDX26B	0.348
1074	CBLN1	0.348
1075	ZDBF2	0.347
1076	CYP4X1	0.347
1077	RBM6	0.347
1078	CDKL2	0.347
1079	TOX3	0.347
1080	SERTM1	0.347
1081	GDA	0.346
1082	ACBD5	0.346
1083	SLC35F3	0.346
1084	CREBRF	0.346
1085	CKAP5	0.346
1086	ERC1	0.345
1087	JHDM1D	0.345
1088	HIVEP2	0.345
1089	PPP1R26	0.345
1090	DAGLA	0.345
1091	NUCKS1	0.345
1092	MAPK8IP2	0.344
1093	LPGAT1	0.344
1094	FBXO11	0.344
1095	MPHOSPH9	0.344
1096	FOXG1	0.344
1097	UPF2	0.344
1098	FGF13	0.343
1099	HECW1	0.343
1100	C17ORF75	0.343
1101	NFASC	0.343
1102	4-Mar	0.342
1103	CDK12	0.342
1104	SLC12A6	0.342
1105	FLJ22184	0.342
1106	SEMA5A	0.342
1107	ARHGAP33	0.342
1108	PIAS2	0.342
1109	DLG4	0.342
1110	CASK	0.342
1111	TRPC4	0.342
1112	KIAA2018	0.342
1113	PDZD8	0.342
1114	PRPF39	0.342
1115	KLHL5	0.342
1116	EGR3	0.341
1117	NECAB1	0.341
1118	MAP3K12	0.341
1119	CBL	0.341
1120	DOCK7	0.341
1121	CALN1	0.341
1122	KLHL9	0.341
1123	RPS6KC1	0.34
1124	FMR1	0.34
1125	LMBR1	0.34
1126	FGF12	0.34
1127	ATL1	0.34
1128	SYNRG	0.34
1129	NF1	0.34
1130	NIPBL	0.34
1131	ACTR2	0.34
1132	GABRG1	0.34
1133	FAM131B	0.34
1134	ZFC3H1	0.34
1135	FAM19A1	0.339
1136	ACVR1B	0.339
1137	NBEA	0.339
1138	AKAP8	0.339
1139	FAM189A1	0.339
1140	MICAL3	0.339
1141	TNPO2	0.339
1142	SESN3	0.338
1143	BCL9	0.338
1144	ADCY2	0.338
1145	KCNA2	0.338
1146	NEBL	0.338
1147	KLF9	0.338
