symbol,entrez
AP2B1,163
AP1G1,164
AEBP1,165
AES,166
CRISP1,167
AFG3L1P,172
AFM,173
AFP,174
AGA,175
ACAN,176
AGER,177
AGL,178
AGRP,181
JAG1,182
AGT,183
AGTR1,185
AGTR2,186
APLNR,187
AGXT,189
NR0B1,190
AHCY,191
AHR,196
AHSG,197
AIF1,199
AIM1,202
AK1,203
AK2,204
AK4,205
AK4P1,206
AKT1,207
AKT2,208
ALAD,210
ALAS1,211
ALAS2,212
ALB,213
ALCAM,214
ABCD1,215
ALDH1A1,216
ALDH2,217
ALDH3A1,218
ALDH1B1,219
ALDH1A3,220
ALDH3B1,221
ALDH3B2,222
ALDH9A1,223
ALDH3A2,224
ABCD2,225
ALDOA,226
ALDOAP2,228
ALDOB,229
ALDOC,230
AKR1B1,231
AKR1B1P2,236
ALK,238
ALOX12,239
ALOX5,240
ALOX5AP,241
ALOX12B,242
ALOX12P1,243
ANXA8L2,244
ALOX12P2,245
ALOX15,246
ALOX15B,247
ALPI,248
ALPL,249
ALPP,250
ALPPL2,251
ALX3,257
AMBN,258
AMBP,259
AMD1,262
AMDP1,263
AMELX,265
AMELY,266
AMFR,267
AMH,268
AMHR2,269
AMPD1,270
AMPD2,271
AMPD3,272
AMPH,273
BIN1,274
AMT,275
AMY1A,276
AMY1B,277
AMY1C,278
AMY2A,279
AMY2B,280
AMYP1,281
ANG,283
ANGPT1,284
ANGPT2,285
ANK1,286
ANK2,287
ANK3,288
ANPEP,290
SLC25A4,291
SLC25A5,292
SLC25A6,293
ANXA1,301
ANXA2,302
ANXA2P1,303
ANXA2P2,304
ANXA2P3,305
ANXA3,306
ANXA4,307
ANXA5,308
ANXA6,309
ANXA7,310
ANXA11,311
ANXA13,312
AOAH,313
AOC2,314
AOX1,316
APAF1,317
NUDT2,318
APOF,319
APBA1,320
APBA2,321
APBB1,322
APBB2,323
APC,324
APCS,325
AIRE,326
APEH,327
APEX1,328
BIRC2,329
BIRC3,330
XIAP,331
BIRC5,332
APLP1,333
APLP2,334
APOA1,335
APOA2,336
APOA4,337
APOB,338
APOBEC1,339
APOC1,341
APOC1P1,342
AQP8,343
APOC2,344
APOC3,345
APOC4,346
APOD,347
APOE,348
APOH,350
APP,351
APRT,353
KLK3,354
FAS,355
FASLG,356
SHROOM2,357
AQP1,358
AQP2,359
AQP3,360
AQP4,361
AQP5,362
AQP6,363
AQP7,364
AQP9,366
AR,367
ABCC6,368
ARAF,369
ARCN1,372
TRIM23,373
AREG,374
ARF1,375
ARF3,377
ARF4,378
ARL4D,379
ARF4P1,380
ARF5,381
ARF6,382
ARG1,383
ARG2,384
RHOA,387
RHOB,388
RHOC,389
RND3,390
RHOG,391
ARHGAP1,392
ARHGAP4,393
ARHGAP5,394
ARHGAP6,395
ARHGDIA,396
ARHGDIB,397
ARHGDIG,398
RHOH,399
ARL1,400
PHOX2A,401
ARL2,402
ARL3,403
ARNT,405
ARNTL,406
ARR3,407
ARRB1,408
ARRB2,409
ARSA,410
ARSB,411
STS,412
ARSD,414
ARSE,415
ARSF,416
ART1,417
ART2P,418
ART3,419
ART4,420
ARVCF,421
ASAH1,427
ASCL1,429
ASCL2,430
ASGR1,432
ASGR2,433
ASIP,434
ASL,435
ASLP1,436
ASMT,438
ASNA1,439
ASNS,440
ASNSP2,442
ASPA,443
ASPH,444
ASS1,445
ASS1P2,447
ASS1P4,449
ASS1P5,450
ASS1P6,451
ASS1P8,453
ASS1P9,454
ASS1P10,455
ASS1P14,459
ASTN1,460
SERPINC1,462
ZFHX3,463
ATF1,466
ATF3,467
ATF4,468
ATF4P1,469
ATIC,471
ATM,472
RERE,473
ATOH1,474
ATOX1,475
ATP1A1,476
ATP1A2,477
ATP1A3,478
ATP12A,479
ATP1A4,480
ATP1B1,481
ATP1B2,482
ATP1B3,483
ATP1B3P1,484
ATP1B1P1,485
FXYD2,486
ATP2A1,487
ATP2A2,488
ATP2A3,489
ATP2B1,490
ATP2B2,491
ATP2B3,492
ATP2B4,493
ATP4A,495
ATP4B,496
ATP5A1,498
ALDH7A1,501
ATP5A1P2,504
ATP5B,506
ATP5BP1,507
ATP5C1,509
ATP5D,513
ATP5E,514
ATP5F1,515
ATP5G1,516
ATP5G2,517
ATP5G3,518
ATP5G2P1,520
ATP5I,521
ATP5J,522
ATP6V1A,523
ATP6V1B1,525
ATP6V1B2,526
ATP6V0C,527
ATP6V1C1,528
ATP6V1E1,529
ATP6V0B,533
ATP6V1G2,534
ATP6V0A1,535
ATP6AP1,537
ATP7A,538
ATP5O,539
ATP7B,540
ALDH7A1P1,541
ALDH7A1P2,542
ALDH7A1P3,543
ALDH7A1P4,544
ATR,545
ATRX,546
KIF1A,547
AUH,549
AUP1,550
AVP,551
AVPR1A,552
AVPR1B,553
AVPR2,554
AXL,558
AZGP1,563
AZU1,566
B2M,567
BAAT,570
BACH1,571
BAD,572
BAG1,573
BAGE,574
BAI1,575
BAI2,576
BAI3,577
BAK1,578
NKX3-2,579
BARD1,580
BAX,581
BBS1,582
BBS2,583
BBS4,585
BCAT1,586
BCAT2,587
BCHE,590
BCKDHA,593
BCKDHB,594
CCND1,595
BCL2,596
BCL2A1,597
BCL2L1,598
BCL2L2,599
BAK1P1,600
BAK1P2,601
BCL3,602
BCL6,604
BCL7A,605
NBEAP1,606
BCL9,607
TNFRSF17,608
HCN2,610
OPN1SW,611
BCR,613
BCRP4,616
BCS1L,617
BCYRN1,618
BCYRN1P1,619
BCYRN1P2,620
BDH1,622
BDKRB1,623
BDKRB2,624
BDNF,627
CFB,629
BFSP1,631
BGLAP,632
BGN,633
CEACAM1,634
BHMT,635
BICD1,636
BID,637
BIK,638
PRDM1,639
BLK,640
BLM,641
BLMH,642
CXCR5,643
BLVRA,644
BLVRB,645
BNC1,646
BMI1,648
BMP1,649
BMP2,650
BMP3,651
BMP4,652
BMP5,653
BMP6,654
BMP7,655
BMP8B,656
BMPR1A,657
BMPR1B,658
BMPR2,659
BMX,660
POLR3D,661
BNIP1,662
BNIP2,663
BNIP3,664
BNIP3L,665
BOK,666
DST,667
FOXL2,668
BPGM,669
BPHL,670
BPI,671
BRCA1,672
BRAF,673
BRCA2,675
BRDT,676
ZFP36L1,677
ZFP36L2,678
BRS3,680
BSG,682
BST1,683
BST2,684
BTC,685
BTD,686
KLF9,687
KLF5,688
BTF3,689
BTF3P11,690
BTF3P1,693
BTG1,694
BTK,695
BTN1A1,696
BUB1,699
BVR1,700
BUB1B,701
BYSL,705
TSPO,706
C1QBP,708
SERPING1,710
ERC2-IT1,711
C1QA,712
C1QB,713
C1QC,714
C1R,715
C1S,716
C2,717
C3,718
C3AR1,719
C4A,720
C4B,721
C4BPA,722
C4BPAP2,724
C4BPB,725
CAPN5,726
C5,727
C5AR1,728
C6,729
C7,730
C8A,731
C8B,732
C8G,733
OSGIN2,734
C9,735
VPS51,738
MRPL49,740
ZNHIT2,741
MPPED2,744
MYRF,745
TMEM258,746
DAGLA,747
C16orf3,750
FMNL1,752
LDLRAD4,753
PTTG1IP,754
C21orf2,755
TMEM50B,757
MPPED1,758
CA1,759
CA2,760
CA3,761
CA4,762
CA5A,763
CA5AP1,764
CA6,765
CA7,766
CA8,767
CA9,768
CA11,770
CA12,771
CACNA1A,773
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA1F,778
CACNA1S,779
DDR1,780
CACNA2D1,781
CACNB1,782
CACNB2,783
CACNB3,784
CACNB4,785
CACNG1,786
SLC25A20,788
SLC25A20P1,789
CAD,790
CALB1,793
CALB2,794
S100G,795
CALCA,796
CALCB,797
CALCP,798
CALCR,799
CALD1,800
CALM1,801
CALM1P1,802
CALM1P2,804
CALM2,805
CALM2P2,806
CALM2P3,807
CALM3,808
CALML3,810
CALR,811
CALU,813
CAMK4,814
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK2G,818
CAMLG,819
CAMP,820
CANX,821
CAPG,822
CAPN1,823
CAPN2,824
CAPN3,825
CAPNS1,826
CAPN6,827
CAPS,828
CAPZA1,829
CAPZA2,830
CAST,831
CAPZB,832
CARS,833
CASP1,834
CASP2,835
CASP3,836
CASP4,837
CASP5,838
CASP6,839
CASP7,840
CASP8,841
CASP9,842
CASP10,843
CASQ1,844
CASQ2,845
CASR,846
CAT,847
CATR1,856
CAV1,857
CAV2,858
CAV3,859
RUNX2,860
RUNX1,861
RUNX1T1,862
CBFA2T3,863
RUNX3,864
CBFB,865
SERPINA6,866
CBL,867
CBLB,868
CBLN1,869
SERPINH1,871
CBR1,873
CBR3,874
CBS,875
CCIN,881
CCBL1,883
CCK,885
CCKAR,886
CCKBR,887
KRIT1,889
CCNA2,890
CCNB1,891
CCNC,892
CCND2,894
CCND2P,895
CCND3,896
CCND3P,897
CCNE1,898
CCNF,899
CCNG1,900
CCNG2,901
CCNH,902
CCNT1,904
CCNT2,905
CCT6A,908
CD1A,909
CD1B,910
CD1C,911
CD1D,912
CD1E,913
CD2,914
CD3D,915
CD3E,916
CD3G,917
CD247,919
CD4,920
CD5,921
CD5L,922
CD6,923
CD7,924
CD8A,925
CD8B,926
CD8BP,927
CD9,928
CD14,929
CD19,930
MS4A1,931
MS4A3,932
CD22,933
CD24P1,935
CD24P2,936
CD24P3,937
CD24P4,938
CD27,939
CD28,940
CD80,941
CD86,942
TNFRSF8,943
TNFSF8,944
CD33,945
SIGLEC6,946
CD34,947
CD36,948
SCARB1,949
SCARB2,950
CD37,951
CD38,952
ENTPD1,953
ENTPD2,954
ENTPD6,955
ENTPD3,956
ENTPD5,957
CD40,958
CD40LG,959
CD44,960
CD47,961
CD48,962
CD53,963
CD58,965
CD59,966
CD63,967
CD68,968
CD69,969
CD70,970
CD72,971
CD74,972
CD79A,973
CD79B,974
CD81,975
CD97,976
CD151,977
CDA,978
CDK1,983
CDK11B,984
LRBA,987
CDC5L,988
SEPT7,989
CDC6,990
CDC20,991
CDC25A,993
CDC25B,994
CDC25C,995
CDC27,996
CDC34,997
CDC42,998
CDH1,999
CDH2,1000
CDH3,1001
CDH4,1002
CDH5,1003
CDH6,1004
CDH7,1005
CDH8,1006
CDH9,1007
CDH10,1008
CDH11,1009
CDH12,1010
CDH12P2,1011
CDH13,1012
CDH15,1013
CDH16,1014
CDH17,1015
CDH18,1016
CDK2,1017
CDK3,1018
CDK4,1019
CDK5,1020
CDK6,1021
CDK7,1022
CDK8,1024
CDK9,1025
CDKN1A,1026
CDKN1B,1027
CDKN1C,1028
CDKN2A,1029
CDKN2B,1030
CDKN2C,1031
CDKN2D,1032
CDKN3,1033
CDO1,1036
CDR1,1038
CDR2,1039
CDS1,1040
CDSN,1041
CD52,1043
CDX1,1044
CDX2,1045
CDX4,1046
CLGN,1047
CEACAM5,1048
CEBPA,1050
CEBPB,1051
CEBPD,1052
CEBPE,1053
CEBPG,1054
CEL,1056
CELP,1057
CENPA,1058
CENPB,1059
CENPC,1060
CENPCP1,1061
CENPE,1062
CENPF,1063
CES1,1066
CETN1,1068
CETN2,1069
CETN3,1070
CETP,1071
CFL1,1072
CFL2,1073
CFL1P5,1074
CTSC,1075
CFTR,1080
CGA,1081
CGB,1082
CEACAM3,1084
CEACAMP5,1085
CEACAMP11,1086
CEACAM7,1087
CEACAM8,1088
CEACAM4,1089
CEACAMP1,1090
CEACAMP2,1091
CEACAMP3,1092
CEACAMP4,1093
CEACAMP6,1094
CEACAMP7,1095
CEACAMP8,1096
CEACAMP9,1097
CEACAMP10,1098
CHAD,1101
RCBTB2,1102
CHAT,1103
RCC1,1104
CHD1,1105
CHD2,1106
CHD3,1107
CHD4,1108
AKR1C4,1109
CHEK1,1111
FOXN3,1112
CHGA,1113
CHGB,1114
CHI3L1,1116
CHI3L2,1117
CHIT1,1118
CHKA,1119
CHKB,1120
CHM,1121
CHML,1122
CHN1,1123
CHN2,1124
CHRM1,1128
CHRM2,1129
LYST,1130
CHRM3,1131
CHRM4,1132
CHRM5,1133
CHRNA1,1134
CHRNA2,1135
CHRNA3,1136
CHRNA4,1137
CHRNA5,1138
CHRNA7,1139
CHRNB1,1140
CHRNB2,1141
CHRNB3,1142
CHRNB4,1143
CHRND,1144
CHRNE,1145
CHRNG,1146
CHUK,1147
CIDEA,1149
CKB,1152
CIRBP,1153
CISH,1154
TBCB,1155
CKBP1,1157
CKM,1158
CKMT1B,1159
CKMT2,1160
ERCC8,1161
CKS1B,1163
CKS2,1164
AP2M1,1173
AP1S1,1174
AP2S1,1175
AP3S1,1176
CLC,1178
CLCA1,1179
CLCN1,1180
CLCN2,1181
CLCN3,1182
CLCN4,1183
CLCN5,1184
CLCN6,1185
CLCN7,1186
CLCNKA,1187
CLCNKB,1188
CLU,1191
CLIC1,1192
CLIC2,1193
CLK1,1195
CLK2,1196
CLK2P,1197
CLK3,1198
TPP1,1200
CLN3,1201
CLN5,1203
CLNS1AP1,1204
CLNS1A,1207
CLPS,1208
CLPTM1,1209
CLTA,1211
CLTB,1212
CLTC,1213
CMA1,1215
CCR1,1230
CCR3,1232
CCR4,1233
CCR5,1234
CCR6,1235
CCR7,1236
CCR8,1237
ACKR2,1238
CMKLR1,1240
LTB4R,1241
ABCC2,1244
CNGB1,1258
CNGA1,1259
CNGA2,1260
CNGA3,1261
CNGA4,1262
PLK3,1263
CNN1,1264
CNN2,1265
CNN3,1266
CNP,1267
CNR1,1268
CNR2,1269
CNTF,1270
CNTFR,1271
CNTN1,1272
COL1A1,1277
COL1A2,1278
COL2A1,1280
COL3A1,1281
COL4A1,1282
COL4A2,1284
COL4A3,1285
COL4A4,1286
COL4A5,1287
COL4A6,1288
COL5A1,1289
COL5A2,1290
COL6A1,1291
COL6A2,1292
COL6A3,1293
COL7A1,1294
COL8A1,1295
COL8A2,1296
COL9A1,1297
COL9A2,1298
COL9A3,1299
COL10A1,1300
COL11A1,1301
COL11A2,1302
COL12A1,1303
COL13A1,1305
COL15A1,1306
COL16A1,1307
COL17A1,1308
COL19A1,1310
COMP,1311
COMT,1312
COPA,1314
COPB1,1315
KLF6,1316
SLC31A1,1317
SLC31A2,1318
CORT,1325
MAP3K8,1326
COX4I1,1327
COX5B,1329
COX5BP1,1330
COX5BP2,1331
COX5BP3,1332
COX5BP4,1333
COX5BP7,1336
COX6A1,1337
COX6A1P1,1338
COX6A2,1339
COX6B1,1340
COX6B1P2,1342
COX6B1P3,1343
COX6C,1345
COX7A1,1346
COX7A2,1347
COX7A2P2,1348
COX7B,1349
COX7C,1350
COX8A,1351
COX10,1352
COX11,1353
COX15,1355
CP,1356
CPA1,1357
CPA2,1358
CPA3,1359
CPB1,1360
CPB2,1361
CPD,1362
CPE,1363
CLDN4,1364
CLDN3,1365
CLDN7,1366
CPM,1368
CPN1,1369
CPN2,1370
CPOX,1371
CPS1,1373
CPT1A,1374
CPT1B,1375
CPT2,1376
CR1,1378
CR1L,1379
CR2,1380
CRABP1,1381
CRABP2,1382
CRAT,1384
CREB1,1385
ATF2,1386
CREBBP,1387
ATF6B,1388
CREBL2,1389
CREM,1390
CRH,1392
CRHBP,1393
CRHR1,1394
CRHR2,1395
CRIP1,1396
CRIP2,1397
CRK,1398
CRKL,1399
CRMP1,1400
CRP,1401
HAPLN1,1404
CRX,1406
CRY1,1407
CRY2,1408
CRYAA,1409
CRYAB,1410
CRYBA1,1411
CRYBA2,1412
CRYBA4,1413
CRYBB1,1414
CRYBB2,1415
CRYBB2P1,1416
CRYBB3,1417
CRYGA,1418
CRYGB,1419
CRYGC,1420
CRYGD,1421
CRYGFP,1423
CRYGGP,1424
CRYGS,1427
CRYM,1428
CRYZ,1429
CRYZP1,1430
CS,1431
MAPK14,1432
CSE1L,1434
CSF1,1435
CSF1R,1436
CSF2,1437
CSF2RA,1438
CSF2RB,1439
CSF3,1440
CSF3R,1441
CSH1,1442
CSH2,1443
CSHL1,1444
CSK,1445
CSN1S1,1446
CSN2,1447
CSN3,1448
CSNK1A1,1452
CSNK1D,1453
CSNK1E,1454
CSNK1G2,1455
CSNK1G3,1456
CSNK2A1,1457
CSNK2A2,1459
CSNK2B,1460
VCAN,1462
NCAN,1463
CSPG4,1464
CSRP1,1465
CSRP2,1466
CSRP2P,1467
SLC25A10,1468
CST1,1469
CST2,1470
CST3,1471
CST4,1472
CST5,1473
CST6,1474
CSTA,1475
CSTB,1476
CSTF1,1477
CSTF2,1478
CSTF3,1479
CSTP1,1480
CSTP2,1481
NKX2-5,1482
CTAG1B,1485
CTBS,1486
CTBP1,1487
CTBP2,1488
CTF1,1489
CTGF,1490
CTH,1491
CTLA4,1493
CTNNA1,1495
CTNNA2,1496
CTNS,1497
CTNNA1P1,1498
CTNNB1,1499
CTNND1,1500
CTNND2,1501
CTPS1,1503
CTRB1,1504
CTRL,1506
CTSB,1508
CTSD,1509
CTSE,1510
CTSG,1511
CTSH,1512
CTSK,1513
CTSL,1514
CTSV,1515
CTSLP2,1517
CTSLP8,1518
CTSO,1519
CTSS,1520
CTSW,1521
CTSZ,1522
CUX1,1523
CX3CR1,1524
CXADR,1525
TEX28,1527
CYB5A,1528
CYB5AP3,1531
CYB5AP4,1532
CYB561,1534
CYBA,1535
CYBB,1536
CYC1,1537
CYLC1,1538
CYLC2,1539
CYLD,1540
CYP1A1,1543
CYP1A2,1544
CYP1B1,1545
CYP2A,1546
CYP2A6,1548
CYP2A7,1549
CYP2A7P1,1550
CYP3A7,1551
CYP2A13,1553
CYP2B6,1555
CYP2B7P1,1556
CYP2C19,1557
CYP2C8,1558
CYP2C9,1559
CYP2C18,1562
CYP2D7P1,1564
CYP2D6,1565
CYP2D7BP,1566
CYP2D8P1,1568
CYP2E1,1571
CYP2F1,1572
CYP2J2,1573
CYP3A,1574
CYP3A4,1576
CYP3A5,1577
CYP3AP1,1578
CYP4A11,1579
CYP4B1,1580
CYP7A1,1581
CYP8B1,1582
CYP11A1,1583
CYP11B1,1584
CYP11B2,1585
CYP17A1,1586
ADAM3A,1587
CYP19A1,1588
CYP21A2,1589
CYP21A1P,1590
CYP24A1,1591
CYP26A1,1592
CYP27A1,1593
CYP27B1,1594
CYP51A1,1595
ADAM3B,1596
DAB1,1600
DAB2,1601
DACH1,1602
DAD1,1603
CD55,1604
DAG1,1605
DGKA,1606
DGKB,1607
DGKG,1608
DGKQ,1609
DAO,1610
DAP,1611
DAPK1,1612
DAPK3,1613
DARS,1615
DAXX,1616
DAZ1,1617
DAZL,1618
BRINP1,1620
DBH,1621
DBI,1622
DBIP2,1623
DBIP1,1624
DBN1,1627
DBP,1628
DBT,1629
DCC,1630
ECI1,1632
DCK,1633
DCN,1634
DCTD,1635
ACE,1636
DCT,1638
DCTN1,1639
DCX,1641
DDB1,1642
DDB2,1643
DDC,1644
AKR1C1,1645
AKR1C2,1646
GADD45A,1647
GADD45AP1,1648
DDIT3,1649
DDOST,1650
DDT,1652
DDX1,1653
DDX3X,1654
DDX5,1655
DDX6,1656
DMXL1,1657
DHX8,1659
DHX9,1660
DHX9P1,1661
DDX10,1662
DDX11,1663
DHX15,1665
DECR1,1666
DEFA1,1667
DEFA3,1668
DEFA4,1669
DEFA5,1670
DEFA6,1671
DEFB1,1672
DEFB4A,1673
DES,1674
CFD,1675
DFFA,1676
DFFB,1677
TIMM8A,1678
DFNA5,1687
COCH,1690
DGUOK,1716
DHCR7,1717
DHCR24,1718
DHFR,1719
LOC1720,1720
DHODH,1723
DHPS,1725
CYB5R3,1727
NQO1,1728
DIAPH1,1729
DIAPH2,1730
SEPT1,1731
DIO1,1733
DIO2,1734
DIO3,1735
DKC1,1736
DLAT,1737
DLD,1738
DLG1,1739
DLG2,1740
DLG3,1741
DLG4,1742
DLST,1743
DLSTP1,1744
DLX1,1745
DLX2,1746
DLX3,1747
DLX4,1748
DLX5,1749
DLX6,1750
DMBT1,1755
DMD,1756
SARDH,1757
DMP1,1758
DNM1,1759
DMPK,1760
DMRT1,1761
DMWD,1762
DNA2,1763
DNAH5,1767
DNAH6,1768
DNAH8,1769
DNAH9,1770
DNASE1,1773
DNASE1L1,1774
DNASE1L2,1775
DNASE1L3,1776
DNASE2,1777
DYNC1H1,1778
DYNC1I1,1780
DYNC1I2,1781
DYNC1LI2,1783
DNCM,1784
DNM2,1785
DNMT1,1786
TRDMT1,1787
DNMT3A,1788
DNMT3B,1789
DNTT,1791
DOCK1,1793
DOCK2,1794
DOCK3,1795
DOK1,1796
DXO,1797
DPAGT1,1798
DPEP1,1800
DPH1,1801
DPH2,1802
DPP4,1803
DPP6,1804
DPT,1805
DPYD,1806
DPYS,1807
DPYSL2,1808
DPYSL3,1809
DR1,1810
SLC26A3,1811
DRD1,1812
DRD2,1813
DRD3,1814
DRD4,1815
DRD5,1816
DRD5P1,1817
DRD5P2,1818
DRG2,1819
ARID3A,1820
DRP2,1821
ATN1,1822
DSC1,1823
DSC2,1824
DSC3,1825
DSCAM,1826
RCAN1,1827
DSG1,1828
DSG2,1829
DSG3,1830
TSC22D3,1831
DSP,1832
EPYC,1833
DSPP,1834
SLC26A2,1836
DTNA,1837
DTNB,1838
HBEGF,1839
DTX1,1840
DTYMK,1841
ECM2,1842
DUSP1,1843
DUSP2,1844
DUSP3,1845
DUSP4,1846
DUSP5,1847
DUSP6,1848
DUSP7,1849
DUSP8,1850
DUSP9,1852
DUT,1854
DVL1,1855
DVL2,1856
DVL3,1857
DYRK1A,1859
TOR1A,1861
E2F1,1869
E2F2,1870
E2F3,1871
E2F3P1,1872
E2F4,1874
E2F5,1875
E2F6,1876
E4F1,1877
EBF1,1879
GPR183,1880
EBVS1,1888
ECE1,1889
TYMP,1890
ECH1,1891
ECHS1,1892
ECM1,1893
ECT2,1894
EDA,1896
S1PR1,1901
LPAR1,1902
S1PR3,1903
EDN1,1906
EDN2,1907
EDN3,1908
EDNRA,1909
EDNRB,1910
PHC1,1911
PHC2,1912
EEF1A1,1915
EEF1A2,1917
EEF1A1P43,1918
EEF1B2P1,1932
EEF1B2,1933
EEF1B2P2,1934
EEF1D,1936
EEF1G,1937
EEF2,1938
EIF2D,1939
EFNA1,1942
EFNA2,1943
EFNA3,1944
EFNA4,1945
EFNA5,1946
EFNB1,1947
EFNB2,1948
EFNB3,1949
EGF,1950
CELSR3,1951
CELSR2,1952
MEGF6,1953
MEGF8,1954
MEGF9,1955
EGFR,1956
EGR1,1958
EGR2,1959
EGR3,1960
EGR4,1961
EHHADH,1962
EIF1AX,1964
EIF2S1,1965
EIF2B1,1967
EIF2S3,1968
EPHA2,1969
EIF4A1,1973
EIF4A2,1974
EIF4B,1975
EIF4E,1977
EIF4EBP1,1978
EIF4EBP2,1979
EIF4EP1,1980
EIF4G1,1981
EIF4G2,1982
EIF5,1983
EIF5A,1984
EIF5AP2,1986
EIF5AP3,1987
CELA1,1990
ELANE,1991
SERPINB1,1992
ELAVL2,1993
ELAVL1,1994
ELAVL3,1995
ELAVL4,1996
ELF1,1997
ELF2,1998
ELF3,1999
ELF4,2000
ELF5,2001
ELK1,2002
ELK2AP,2003
ELK3,2004
ELK4,2005
ELN,2006
EML1,2009
EMD,2010
MARK2,2011
EMP1,2012
EMP2,2013
EMP3,2014
EMR1,2015
EMX1,2016
CTTN,2017
EMX2,2018
EN1,2019
EN2,2020
ENDOG,2021
ENG,2022
ENO1,2023
ENO1P1,2025
ENO2,2026
ENO3,2027
ENPEP,2028
ENSA,2029
SLC29A1,2030
EP300,2033
EPAS1,2034
EPB41,2035
EPB41L1,2036
EPB41L2,2037
EPB42,2038
DMTN,2039
STOM,2040
EPHA1,2041
EPHA3,2042
EPHA4,2043
EPHA5,2044
EPHA7,2045
EPHA8,2046
EPHB1,2047
EPHB2,2048
EPHB3,2049
EPHB4,2050
EPHB6,2051
EPHX1,2052
EPHX2,2053
STX2,2054
CLN8,2055
EPO,2056
EPOR,2057
EPRS,2058
EPS8,2059
EPS15,2060
NR2F6,2063
ERBB2,2064
ERBB3,2065
ERBB4,2066
ERCC1,2067
ERCC2,2068
EREG,2069
EYA4,2070
ERCC3,2071
ERCC4,2072
ERCC5,2073
ERCC6,2074
ERF,2077
ERG,2078
ERH,2079
ERN1,2081
ERPL1,2082
ERPL2,2083
ERV3-1,2086
FBL,2091
ESD,2098
ESR1,2099
ESR2,2100
ESRRA,2101
ESRRB,2103
ESRRG,2104
ETF1,2107
ETFA,2108
ETFB,2109
ETFDH,2110
ETS1,2113
ETS2,2114
ETV1,2115
ETV2,2116
ETV3,2117
ETV4,2118
ETV5,2119
ETV6,2120
EVC,2121
MECOM,2122
EVI2A,2123
EVI2B,2124
EVPL,2125
EVX1,2128
EWSR1,2130
EXT1,2131
EXT2,2132
EXTL1,2134
EXTL2,2135
EXTL3,2137
EYA1,2138
EYA2,2139
EYA3,2140
EZH1,2145
EZH2,2146
F2,2147
F2R,2149
F2RL1,2150
F2RL2,2151
F3,2152
F5,2153
F7,2155
F8,2157
F9,2158
F10,2159
F11,2160
F12,2161
F13A1,2162
F13B,2165
FAAH,2166
FABP4,2167
FABP1,2168
FABP2,2169
FABP3,2170
FABP5,2171
FABP6,2172
FABP7,2173
FANCA,2175
FANCC,2176
FANCD2,2177
FANCE,2178
ACSL1,2180
ACSL3,2181
ACSL4,2182
FAH,2184
PTK2B,2185
BPTF,2186
FANCB,2187
FANCF,2188
FANCG,2189
FAP,2191
FBLN1,2192
FARSA,2193
FASN,2194
FAT1,2195
FAT2,2196
FAU,2197
FBLN2,2199
FBN1,2200
FBN2,2201
EFEMP1,2202
FBP1,2203
FCAR,2204
FCER1A,2205
MS4A2,2206
FCER1G,2207
FCER2,2208
FCGR1A,2209
FCGR1B,2210
FCGR2A,2212
FCGR2B,2213
FCGR3A,2214
FCGR3B,2215
FDX1P2,2216
FCGRT,2217
